economy,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
ABW,,,,,,,,,,,,
AFE,780.17236984834,766.243658016489,755.371018311124,749.402187738062,728.721221633136,725.668196097785,740.766342797557,,,,,
AFG,,,,,,,,,,,,
AFW,585.933019164169,571.800006978943,596.785227772781,610.016077182942,624.240457631954,622.117525274381,611.437410013059,,,,,
AGO,491.978571174406,515.217256607197,520.962336115045,521.780702920565,552.363765623802,533.760886563258,544.609443483916,,,,,
ALB,710.748498463347,732.316681804627,729.154372728518,764.968616564465,687.896259861998,801.329975005976,808.455839595944,,,,,
AND,,,,,,,,,,,,
ARB,1678.09560602555,1724.44902429584,1784.99980960134,1750.71779119167,1850.56492707102,1807.27985346652,1962.9550276975,,,,,
ARE,8367.15271036574,7572.35826350373,7215.21045969835,7190.96953115412,7481.19223794352,7604.84134000905,7648.39407339686,,,,,
ARG,1937.64151484529,1865.33735598138,1928.65235658729,1952.05105293095,1936.80353979442,1967.02167752077,2029.92282543737,,,,,
ARM,1033.17289255971,903.699810324733,863.027462418075,944.041027124291,1029.9399598993,1000.9552756374,1015.90988609749,,,,,
ASM,,,,,,,,,,,,
ATG,,,,,,,,,,,,
AUS,5964.66577565273,5862.55194383105,5793.11602573559,5745.23218954465,5575.28709327857,5468.39136879598,5334.68167873774,5483.81640154023,,,,
AUT,4032.14842619644,3798.15116830548,4051.19602018508,3921.90051459529,3886.76773201774,3919.04441873374,3763.3279025587,3800.29942035468,,,,
AZE,1520.31391925508,1334.16617834119,1279.552594272,1369.35099893362,1472.89739090323,1474.00343280059,1502.07816841371,,,,,
BDI,,,,,,,,,,,,
BEL,5454.66715929162,5196.58198268641,5539.47222297176,5092.31614681439,4845.48829505754,4997.46330606994,4708.22121789549,4687.7870492938,,,,
BEN,376.859725546358,384.446879402391,397.136550420284,396.771255457635,399.676275282771,406.247969682728,416.790619547949,,,,,
BFA,,,,,,,,,,,,
BGD,185.582115288094,193.073116875031,206.761155157851,212.058286389298,219.972661567757,222.0614049963,229.25054031946,,,,,
BGR,2648.86705627088,2351.6550533062,2416.70390728324,2617.12786908804,2513.35238098367,2329.122801222,2477.65540069696,,,,,
BHR,11318.2170107972,10339.1996287155,10207.835024628,9912.69589790894,9659.61173652363,10419.815836761,10596.5662055891,,,,,
BHS,,,,,,,,,,,,
BIH,1587.93914434825,1664.22953228701,1749.12035640206,1951.71110461046,1854.11343000722,1821.82793531753,2246.91838789514,,,,,
BLR,2932.1032726227,2790.77788052353,2902.10543497378,3101.43111508223,3228.47300408306,2888.46029173763,2936.57754684202,,,,,
BLZ,,,,,,,,,,,,
BMU,,,,,,,,,,,,
