economy,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
ABW,34343.1513198843,35392.605185777,34732.4958463381,35980.1645924769,35875.6298298588,37715.9266182631,38314.8060318881,38897.122666275,,
AFE,3570.86066930455,3617.85449070659,3608.99966578737,3658.99907398238,3709.41834800101,3726.70123167662,3722.43198667671,3726.61764653662,3727.19858667179,3710.79357450408
AFG,1957.02906990812,1904.55992565594,2075.49161435331,2116.46525771251,2102.38460375974,2068.26590413364,2057.06797755329,2058.4002210698,2033.80438893717,2065.03623501599
AFW,3794.17949257788,3872.80912329008,3966.07123601043,4092.76863204125,4215.64600180692,4216.40920637826,4121.23484912007,4115.64548016502,4132.59299620084,4159.30288607333
AGO,7692.43428623311,7675.44608452759,8036.69240208792,8140.52597328045,8239.8306720725,8036.41089824639,7568.99816818809,7310.89658895511,6933.49993413352,6670.33145836633
ALB,10749.4816712201,11052.7936097627,11227.9663309799,11361.2686043509,11586.833878569,11878.4544479371,12291.8594923641,12770.9642910053,13317.0923133291,13656.5927487572
AND,,,,,,,,,,
ARB,13159.6655115523,13323.9753219345,13711.1790546426,13818.2915651611,13886.9908548719,14115.0492721205,14310.5277982196,14214.6130165904,14308.5434708333,14339.5179871859
ARE,54921.7972461198,56122.5766813272,57389.3187848829,59920.1523118859,62452.1845067078,65267.4151257861,66510.8936646521,67183.6053111678,66968.2211797023,68263.6755335341
ARG,23521.2701750961,24647.6292739541,24118.8675158912,24424.1364465071,23550.0990599374,23933.8866120953,23189.5274451329,23597.117752839,22747.2416575831,22066.1010083881
ARM,9286.19732701296,9725.27822960819,10397.654656654,10691.2767474722,11019.838784895,11321.3325403745,11303.0678498177,12115.1392902637,12715.1089539751,13653.7633812861
ASM,,,,,,,,,,
ATG,18206.0165312204,17605.4389676199,17966.3387012831,17643.1302710941,18104.6837879971,18594.5455550999,19419.6326457349,19840.2840357027,21017.2644997656,21850.1334122252
AUS,44914.9812132027,45389.1701737895,46350.9199520719,46744.6325424082,47232.875386831,47569.2946015026,48116.0310826944,48398.5497014956,49029.1057110348,49309.1123989414
AUT,51843.4283275453,53179.1474647432,53297.4447850919,52997.7538166712,52932.9001116518,52873.8586545571,53345.7415259818,54172.9867888254,55258.37103291,55833.559903835
AZE,14082.2381492462,13913.8366762498,14027.4687658751,14651.6939594987,14867.9437541074,14852.6117173183,14232.1926093441,14121.4069355591,14209.5931685619,14442.0408572999
BDI,846.169136789899,852.502621649322,862.715712963336,877.272964851954,886.235416674512,825.20566069269,794.60427137057,773.572858670972,761.524125241416,751.664152760383
BEL,47972.558838523,48154.8711461252,48210.9246578014,48204.5856992867,48748.6205926039,49456.3985817783,49829.9273887741,50442.2705419624,51126.6669535206,51944.1670288861
BEN,2704.7054840378,2707.86970043194,2759.84825577488,2876.90390883027,2975.85478222107,2945.97022066349,2961.4404159762,3044.51715620319,3160.7806702321,3287.30953781986
BFA,1716.35832279765,1775.77917858267,1834.54330775192,1883.79653969539,1907.94921260654,1925.33207544524,1981.429813531,2044.38698676758,2117.81390140299,2175.50467955719
BGD,2883.46679391309,3034.95108156758,3195.78104025627,3349.02500775857,3511.64550625961,3700.11082057504,3920.14450723583,4160.70332471531,4440.85590480834,4753.72702676094
BGR,18160.6082442238,18661.4799578533,18911.5843050238,18911.1260053992,19202.8089285445,19988.2244923714,20740.7948473544,21469.9454411605,22206.0907800663,23265.8769207936
BHR,44599.804972084,44157.4796400241,45035.9785547932,46930.8307282373,48201.1571717366,48110.7341930587,47937.7090620549,47709.7780156397,46389.2644603172,45311.8641175216
BHS,36547.4280141566,36296.393572118,37005.3775244786,35331.165707622,35801.9181551358,36023.5955240709,35701.2303494393,35917.7570326171,36539.6618746659,36432.5183067574
BIH,10938.2893336756,11176.8811943454,11257.8394767668,11725.2554566971,12066.5917858159,12630.6672913304,13194.3305696421,13753.8374426837,14386.7374914983,14896.7958756886
BLR,17300.7036830881,18274.0207167069,18611.4542129387,18805.4308685766,19119.3461515636,18362.7455862583,17883.1264992839,18356.1007741722,18974.6998134505,19279.209247881
BLZ,7294.663222693,7259.64495499939,7264.63935534435,7194.6215734767,7322.88296109423,7358.61842797652,7206.95239980855,7193.63430990345,7261.69420054139,7251.88610343325
BMU,88399.9159492493,85829.3782604391,80982.367755316,80503.6502910788,77361.1048812589,77842.7539032209,78149.352535184,81834.9558735543,81422.1346003442,81804.2656772398
BOL,6612.80335425232,6844.98377113785,7081.3861286295,7444.49079677339,7730.63840148344,7984.41198607604,8202.54423301658,8423.69755843668,8655.53148479759,8724.47418606476
BRA,14873.2083173363,15323.3313867559,15478.792838839,15805.2229104713,15749.5121636814,15064.1760688552,14451.1528423266,14524.6135408174,14668.2561636292,14763.8716968734
BRB,15596.6168113309,15444.7463207601,15335.848046216,15088.4413511106,15041.5547480584,15382.7656890531,15738.0786618241,15789.0411622149,15674.9043195592,15639.0478442375
BRN,67753.4217667143,69388.8131973129,69090.341492818,66715.6926477592,64190.8241471541,63147.4834900843,60867.2918657417,60994.5315563275,60389.1846472589,62098.011379516
BTN,8190.57622279014,8744.95764294872,9084.00445533749,9163.5635511192,9574.0290039124,10086.0727954667,10775.1903107625,11142.4746724654,11348.4419521,11864.7662468492
BWA,13126.2146962517,13724.6713487456,14166.5442663072,15597.6174151222,16042.0524931341,14895.9049840115,15654.6818325969,15948.0320233624,16222.407448116,16347.9100835516
CAF,1201.35219681679,1242.71480100483,1300.28880967492,824.943275653475,822.611194894812,852.749236638592,884.495196541199,912.803045335037,933.10995060419,945.142042928865
CAN,44861.5239641879,45822.5964338567,46126.5138859002,46704.7622355677,47564.609109622,47522.1406673151,47457.5853457244,48317.0965785817,48962.3573384612,49181.7735213062
