economy,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
ABW,,,,,,,,,,,,
AFE,-40.0256390924859,-38.314270953454,-38.2841587171351,-34.6227253100243,-32.2449915534232,-32.0350067306814,-31.655426118373,,,,,
AFG,,,,,,,,,,,,
AFW,-91.9476520844552,-88.7090224519418,-95.4026024535284,-90.7796926149948,-85.6644762283699,-76.4861600565048,-78.2114380864684,,,,,
AGO,-885.245940803771,-764.549421482873,-703.772381443532,-619.053894591281,-589.506131357009,-594.546142867359,-540.997471229649,,,,,
ALB,45.2193265320444,41.6672458370863,23.7139849400341,33.2602886181185,16.2978686080168,12.3207053334506,13.7979708979656,,,,,
AND,,,,,,,,,,,,
ARB,-214.992896087809,-182.798546833642,-178.609565845771,-186.096075188892,-180.638024912416,-178.499291141439,-164.539204700971,,,,,
ARE,-212.820850154585,-179.80683983111,-181.459592298821,-191.249161744695,-183.354428506649,-187.524243326506,-183.843970434642,,,,,
ARG,-6.23159275095422,-7.35451320564135,-1.07204129175496,3.21790919768797,6.14144796059768,12.6885776303415,13.0293607429001,,,,,
ARM,73.2174260977361,68.1066449039644,64.6512304078486,67.3442167531802,72.706661599216,72.0464797313162,71.3413045219602,,,,,
ASM,,,,,,,,,,,,
ATG,,,,,,,,,,,,
AUS,-126.27199647896,-132.236460070314,-153.605591504432,-143.738620495545,-153.237178406375,-172.438340343449,-192.015924390399,-190.190947582154,,,,
AUT,66.7351731668466,63.8529679605059,64.8344395273815,65.3854438379604,61.9544655879094,63.4170521216642,62.4237860331551,63.5448534935955,,,,
AZE,-340.425804197951,-441.156606679222,-465.487298167864,-377.332754618619,-328.956795544407,-327.600377712539,-310.384694389236,,,,,
BDI,,,,,,,,,,,,
BEL,75.6485463768864,73.4327904314744,74.2611828033881,71.3862629876039,73.7040318229552,73.1920687377354,76.2588603028117,80.0917919669683,,,,
BEN,40.812877553343,41.9674551954232,43.7551733199028,43.7114805456359,44.1564880706237,45.1259070955081,46.5907071276267,,,,,
BFA,,,,,,,,,,,,
BGD,12.8217965822005,12.3584576005917,14.5287035793785,16.9357412610266,17.7915866489742,14.9783237714156,16.8417026426245,,,,,
BGR,48.2920065997548,43.7872348981496,40.7486432167721,35.6636196193394,35.8672954995599,37.1426798519858,36.5507777246819,,,,,
BHR,-55.7653049819932,-60.7154635861878,-59.525702964544,-63.2179768463029,-58.330635620874,-60.8813007394347,-61.5842547697783,,,,,
BHS,,,,,,,,,,,,
BIH,28.9946486963599,28.8549200880744,32.5620200924903,35.372746570174,32.446098736585,28.4596197957113,22.7300892330376,,,,,
